borrower_id,sex,age_at_application,civil_status,educational_attainment,monthly_income,monthly_amortization,nominal_rate,everbad_in_12mo
B1,Male,31,Separated,Undergraduate degree holder,42000,3716.79159404781,0.05,1
B2,Female,44,Single,Undergraduate degree holder,50000,5528.96653438522,0.05,1
B3,Female,47,Married,Undergraduate degree holder,51000,3583.75130827388,0.05,1
B4,Male,52,Married,Some college (Not a degree holder),54000,4437.76669598699,0.1,0
B5,Male,47,Single,Undergraduate degree holder,43000,4592.66365179793,0.1,0
B6,Male,55,Single,Undergraduate degree holder,47000,5044.63843641796,0.05,1
B7,Male,44,Single,Undergraduate degree holder,57000,3021.71950414277,0.05,1
B8,Male,42,Single,Undergraduate degree holder,51000,4555.48896033042,0.05,0
B9,Female,54,Single,Some college (Not a degree holder),58000,4362.62941563935,0.1,0
B10,Female,35,Separated,Undergraduate degree holder,43000,3664.90031311543,0.05,0
B11,Male,44,Single,Graduate degree holder,51000,4051.36775888569,0.05,0
B12,Male,34,Married,Undergraduate degree holder,51000,3933.60500065591,0.05,0
B13,Female,34,Married,Undergraduate degree holder,46000,3861.41807917437,0.05,1
B14,Male,49,Married,Undergraduate degree holder,46000,4241.65275184209,0.05,1
B15,Female,58,Married,Undergraduate degree holder,45000,4375.67614492382,0.05,0
B16,Male,41,Single,Some college (Not a degree holder),35000,5067.99911592484,0.1,1
B17,Female,40,Married,Non-HS graduate,51000,3554.15426214791,0.15,0
B18,Male,32,Single,Undergraduate degree holder,48000,3717.45099709446,0.05,0
B19,Female,28,Single,Undergraduate degree holder,50000,3444.72869639878,0.05,0
B20,Male,44,Single,Undergraduate degree holder,46000,4928.94902818833,0.05,1
B21,Male,46,Separated,Undergraduate degree holder,46000,4106.17225146588,0.05,0
B22,Male,39,Single,Undergraduate degree holder,45000,4036.46642839389,0.05,0
B23,Male,35,Married,Non-HS graduate,48000,4014.4024179684,0.15,1
B24,Female,40,Married,HS graduate,56000,4120.72211559367,0.15,0
B25,Male,36,Single,Undergraduate degree holder,41000,5937.90556416484,0.05,1
B26,Female,42,Married,Undergraduate degree holder,40000,3174.28317549434,0.1,1
B27,Female,48,Single,Undergraduate degree holder,51000,4048.48066577923,0.05,0
B28,Male,44,Single,Undergraduate degree holder,46000,4005.09426584541,0.05,1
B29,Female,35,Married,Undergraduate degree holder,56000,4366.23384185224,0.1,0
B30,Male,41,Single,Graduate degree holder,50000,3915.77378220299,0.05,0
B31,Female,36,Single,Undergraduate degree holder,60000,4471.36540742107,0.05,0
B32,Female,33,Married,Undergraduate degree holder,50000,3618.94045849592,0.05,0
B33,Female,34,Single,Undergraduate degree holder,46000,5289.01897395499,0.05,1
B34,Male,57,Single,Some college (Not a degree holder),62000,4198.24320109447,0.05,0
B35,Male,52,Married,Some college (Not a degree holder),42000,4336.67093657662,0.1,0
B36,Male,36,Single,Undergraduate degree holder,43000,5282.71787828321,0.05,0
B37,Female,34,Single,Undergraduate degree holder,48000,4868.45214456165,0.05,1
B38,Male,32,Married,Undergraduate degree holder,49000,3654.97494734684,0.1,0
B39,Male,43,Single,Undergraduate degree holder,39000,4586.88084467006,0.1,1
B40,Female,42,Single,Undergraduate degree holder,40000,4587.915198748,0.05,0
B41,Male,31,Single,Undergraduate degree holder,41000,3272.96729348076,0.05,0
B42,Female,48,Single,Some college (Not a degree holder),57000,4298.33159601481,0.1,0
B43,Female,36,Married,Undergraduate degree holder,49000,4301.20936564559,0.05,1
B44,Male,44,Widowed,Undergraduate degree holder,44000,4119.47993214767,0.05,0
B45,Male,29,Separated,Undergraduate degree holder,33000,4264.27615155875,0.1,1
B46,Female,34,Single,Undergraduate degree holder,45000,3976.29626684865,0.05,0
